bad_token,filename
A,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_14__party_list_vote_page_2.md
Aสิริย,district_mueang_lamphun__05_subdistrict_wiang_yong__polling_unit_8__party_list_vote_page_3.md
b,district_mae_tha__03_subdistrict_municipality_tha_sop_sao__polling_unit_6__party_list_vote_page_3.md
กก,district_mueang_lamphun__10_subdistrict_pratu_pa__polling_unit_1__party_list_vote_page_1.md
กฝ,district_mueang_lamphun__13_municipality_mueang_lamphun__polling_unit_9__party_list_vote_page_3.md
กฟ,district_mueang_lamphun__10_subdistrict_pratu_pa__polling_unit_1__party_list_vote_page_1.md
กม,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_9__party_list_vote_page_2.md
กลาง,district_mueang_lamphun__01_subdistrict_ton_thong__polling_unit_4__party_list_vote_page_3.md
กลางฝั่ง,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_7__party_list_vote_page_3.md
กลางแทน,district_mueang_lamphun__11_subdistrict_pa_sak__polling_unit_11__party_list_vote_page_2.md
กล่อง,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_18__party_list_vote_page_3.md
กอง,district_mae_tha__06_subdistrict_tha_kat__polling_unit_10__party_list_vote_page_2.md
กองช่วยเหลือราษฎร,district_mae_tha__05_subdistrict_tha_thung_luang__polling_unit_5__party_list_vote_page_3.md
กาม,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
กาเทน,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_15__party_list_vote_page_3.md
กิน,district_ban_thi__02_subdistrict_huai_yap__polling_unit_3__party_list_vote_page_2.md
ก้อย,district_ban_thi__01_subdistrict_ban_thi__polling_unit_16__party_list_vote_page_2.md
ก้าว,district_mueang_lamphun__12_subdistrict_umong__polling_unit_8__party_list_vote_page_3.md
ก้าวอิสระ,district_ban_thi__01_subdistrict_ban_thi__polling_unit_11__party_list_vote_page_2.md
ก๊า,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_1__party_list_vote_page_2.md
ขน,district_mueang_lamphun__08_subdistrict_nong_chang_khuen__polling_unit_2__party_list_vote_page_2.md
ขนง,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
ขนน,district_mae_tha__02_subdistrict_municipality_tha_sop_chai__polling_unit_8__party_list_vote_page_2.md
ขับเคลื่อน,advance_outside_district_and_overseas__party_list_vote_03_page_2.md
ขึ้น,district_mueang_lamphun__10_subdistrict_pratu_pa__polling_unit_7__party_list_vote_page_2.md
ข้าวหลัง,district_mueang_lamphun__03_subdistrict_makhuea_chae__polling_unit_3__party_list_vote_page_3.md
ค,district_mueang_lamphun__16_subdistrict_mueang_nga__polling_unit_7__party_list_vote_page_1.md
คท,district_ban_thi__01_subdistrict_ban_thi__polling_unit_15__party_list_vote_page_2.md
คน,district_ban_thi__02_subdistrict_huai_yap__polling_unit_12__constituency_vote_page_1.md
คนง,district_mueang_lamphun__02_subdistrict_ban_klang__polling_unit_11__party_list_vote_page_2.md
